id,category_id,detail,lat,lng,place,region
KCLANPO22N000019504,CT3,놀이공원,35.45838743,127.6400131,지리산유아숲체험원  ,경상남도
KCLANPO22N000019505,CT3,놀이공원,35.71384959,128.2693656,고령군가야국역사루트  ,경상북도
KCLANPO22N000019506,CT4,지역관광지,37.68690177,129.0381188,모래시계공원  ,강원도
KCLANPO22N000019507,CT4,지역관광지,35.05514372,128.3951595,당항포관광지  ,경상남도
KCLANPO22N000019508,CT4,지역관광지,33.41589177,126.6793436,렛츠런팜 제주,제주특별자치도
KCLANPO22N000019509,CT4,지역관광지,33.3009572,126.5851924,돈내코유원지  ,제주특별자치도
KCLANPO22N000019510,CT4,지역관광지,37.55446112,129.1186389,묵호등대  ,강원도
KCLANPO22N000019511,CT4,지역관광지,37.11622433,126.6826288,어촌체험마을  ,경기도
KCLANPO22N000019512,CT4,지역관광지,37.68521768,129.0423205,정동포구  ,강원도
KCLANPO22N000019513,CT4,지역관광지,36.46272034,127.4907678,청남대  ,충청북도
KCLANPO22N000019514,CT1,휴양림/수목원,36.7426604,129.264619,영양자작나무숲  ,경상북도
KCLANPO22N000019515,CT1,휴양림/수목원,35.3581059,127.8527384,계림정숲  ,경상남도
KCLANPO22N000019516,CT1,휴양림/수목원,35.62631339,129.1618935,자드락숲  ,울산광역시
KCLANPO22N000019517,CT1,호수/저수지,36.64236217,126.4533915,간월호  ,충청남도
